,artist,date.entered,rank,time,track,week,year
250,"'Rogers, Kenny'",'2000-03-11',79.0,'3:46','Buy Me A Rose','wk1',2000
251,'Ruff Endz','2000-07-01',76.0,'3:56','No More','wk1',2000
252,'Sammie','2000-01-29',85.0,'4:09','I Like It','wk1',2000
253,'Santana','2000-02-12',15.0,'4:18',"'Maria, Maria'",'wk1',2000
254,'Savage Garden','2000-04-08',75.0,'4:41','Crash And Burn','wk1',2000
255,'Savage Garden','1999-10-23',71.0,'4:07','I Knew I Loved You','wk1',2000
256,'SheDaisy','1999-12-25',97.0,'3:46','Deck The Halls','wk1',2000
257,'SheDaisy','2000-07-15',78.0,'3:40','I Will.. But','wk1',2000
258,'SheDaisy','2000-02-05',82.0,'3:20','This Woman Needs','wk1',2000
259,"'Sheist, Shade'",'2000-11-11',96.0,'4:16','Where I Wanna Be','wk1',2000
260,'Shyne','2000-09-09',94.0,'4:22','Bad Boyz','wk1',2000
261,"'Simpson, Jessica'",'2000-07-01',63.0,'3:32',"""I Think I'm In Love ...""",'wk1',2000
262,"'Simpson, Jessica'",'2000-04-01',73.0,'3:51','Where You Are','wk1',2000
263,'Sisqo','1999-11-20',92.0,'3:52','Got To Get It','wk1',2000
264,'Sisqo','2000-06-24',77.0,'3:52','Incomplete','wk1',2000
265,'Sisqo','2000-01-29',74.0,'4:05','Thong Song','wk1',2000
266,'Sister Hazel','2000-07-15',75.0,'4:02','Change Your Mind','wk1',2000
267,'Smash Mouth','1999-10-30',83.0,'3:04','Then The Morning Com...','wk1',2000
268,"'Smith, Will'",'2000-02-12',99.0,'3:58',"""Freakin' It""",'wk1',2000
269,'Son By Four','2000-04-08',80.0,'3:30','A Puro Dolor','wk1',2000
270,'Sonique','2000-01-22',67.0,'3:48','It Feels So Good','wk1',2000
271,'SoulDecision','2000-07-08',94.0,'3:25','Faded','wk1',2000
272,"'Spears, Britney'",'2000-01-29',76.0,'4:30','From The Bottom Of M...','wk1',2000
273,"'Spears, Britney'",'2000-08-12',61.0,'3:23','Lucky','wk1',2000
274,"'Spears, Britney'",'2000-04-22',67.0,'3:30','Oops!.. I Did It Aga...','wk1',2000
275,"'Spencer, Tracie'",'2000-03-04',95.0,'4:11','Still In My Heart','wk1',2000
276,'Splender','2000-06-10',71.0,'3:55','I Think God Can Expl...','wk1',2000
277,'Sting','2000-05-13',98.0,'3:52','Desert Rose','wk1',2000
278,"'Stone, Angie'",'1999-12-25',86.0,'4:42','No More Rain','wk1',2000
279,'Stone Temple Pilots','2000-07-08',79.0,'4:16','Sour Girl','wk1',2000
280,"'Strait, George'",'2000-08-26',71.0,'3:48','Go On','wk1',2000
281,"'Strait, George'",'2000-01-29',73.0,'3:24','The Best Day','wk1',2000
282,'Sugar Ray','2000-01-15',70.0,'4:15','Falls Apart','wk1',2000
283,'Tamar','2000-03-25',98.0,'4:02',"""If You Don't Wanna L...""",'wk1',2000
284,'Tamia','2000-09-16',90.0,'3:38',"""Can't Go For That""",'wk1',2000
285,'Third Eye Blind','2000-09-02',80.0,'4:10','Deep Inside Of You','wk1',2000
286,'Third Eye Blind','2000-01-22',65.0,'3:57','Never Let You Go','wk1',2000
287,"'Thomas, Carl'",'2000-11-25',77.0,'4:31','Emotional','wk1',2000
288,"'Thomas, Carl'",'2000-03-25',75.0,'3:50','I Wish','wk1',2000
289,"'Thomas, Carl'",'2000-09-23',82.0,'4:57','Summer Rain','wk1',2000
290,"'Tippin, Aaron'",'2000-08-26',74.0,'2:53','Kiss This','wk1',2000
291,'TLC','2000-02-12',63.0,'4:36','Dear Lie','wk1',2000
292,'Train','1999-10-09',76.0,'3:55','Meet Virginia','wk1',2000
293,'Trick Daddy','2000-05-20',99.0,'4:17','Shut Up','wk1',2000
294,'Trina','2000-09-09',97.0,'2:58','Pull Over','wk1',2000
295,"'Tritt, Travis'",'2000-08-19',97.0,'4:15','Best Of Intentions','wk1',2000
296,'Tuesday','2000-12-30',98.0,'4:06','I Know','wk1',2000
297,"'Urban, Keith'",'2000-07-15',81.0,'4:10','Your Everything','wk1',2000
298,'Usher','2000-11-04',68.0,'3:36','Pop Ya Collar','wk1',2000
299,"'Vassar, Phil'",'2000-03-04',75.0,'4:07','Carlene','wk1',2000
300,"'Vassar, Phil'",'2000-09-30',81.0,'3:54','Just Another Day In ...','wk1',2000
301,'Vertical Horizon','2000-01-22',70.0,'4:01','Everything You Want','wk1',2000
302,'Vertical Horizon','2000-08-26',64.0,'3:45',"""You're A God""",'wk1',2000
303,'Vitamin C','2000-04-15',81.0,'4:23','Graduation','wk1',2000
304,'Vitamin C','2000-12-02',86.0,'3:30','The Itch','wk1',2000
305,"'Walker, Clay'",'1999-12-04',95.0,'4:06',"'Live, Laugh, Love'",'wk1',2000
306,"'Walker, Clay'",'2000-04-15',73.0,'5:03','The Chain Of Love','wk1',2000
307,"'Wallflowers, The'",'2000-10-28',73.0,'3:29','Sleepwalker','wk1',2000
308,'Westlife','2000-04-01',96.0,'4:07','Swear It Again','wk1',2000
309,"'Williams, Robbie'",'1999-11-20',85.0,'3:56','Angels','wk1',2000
310,"'Wills, Mark'",'2000-01-15',89.0,'4:00','Back At One','wk1',2000
311,"'Worley, Darryl'",'2000-06-17',98.0,'3:35','When You Need My Lov...','wk1',2000
312,"'Wright, Chely'",'2000-03-04',86.0,'3:51','It Was','wk1',2000
313,'Yankee Grey','2000-04-29',86.0,'3:10','Another Nine Minutes','wk1',2000
314,"'Yearwood, Trisha'",'2000-04-01',85.0,'3:55','Real Live Woman','wk1',2000
315,'Ying Yang Twins','2000-03-18',95.0,'4:19','Whistle While You Tw...','wk1',2000
316,'Zombie Nation','2000-09-02',99.0,'3:30','Kernkraft 400','wk1',2000
317,'2Ge+her','2000-09-02',87.0,'3:15','The Hardest Part Of ...','wk2',2000
318,'2 Pac','2000-02-26',82.0,'4:22',"""Baby Don't Cry""",'wk2',2000
319,'3 Doors Down','2000-04-08',70.0,'3:53','Kryptonite','wk2',2000
320,'3 Doors Down','2000-10-21',76.0,'4:24','Loser','wk2',2000
321,'504 Boyz','2000-04-15',34.0,'3:35','Wobble Wobble','wk2',2000
322,'98?','2000-08-19',39.0,'3:24','Give Me Just One Nig...','wk2',2000
323,'Aaliyah','2000-01-29',62.0,'4:15',"""I Don't Wanna""",'wk2',2000
324,'Aaliyah','2000-03-18',53.0,'4:03','Try Again','wk2',2000
325,"'Adams, Yolanda'",'2000-08-26',76.0,'5:30','Open My Heart','wk2',2000
326,"'Adkins, Trace'",'2000-04-29',84.0,'3:05','More','wk2',2000
327,"'Aguilera, Christina'",'2000-08-05',47.0,'3:38','Come On Over Baby','wk2',2000
328,"'Aguilera, Christina'",'2000-04-15',39.0,'4:00','I Turn To You','wk2',2000
329,"'Aguilera, Christina'",'1999-11-27',51.0,'3:18','What A Girl Wants','wk2',2000
330,'Alice Deejay','2000-04-08',65.0,'6:50','Better Off Alone','wk2',2000
331,"'Allan, Gary'",'2000-01-22',78.0,'4:18','Smoke Rings In The D...','wk2',2000
332,'Amber','1999-07-17',99.0,'4:38','Sexual','wk2',2000
333,'Anastacia','2000-04-01',nan,'4:01',"""I'm Outta Love""",'wk2',2000
334,"'Anthony, Marc'",'2000-09-16',76.0,'3:59','My Baby You','wk2',2000
335,"'Anthony, Marc'",'2000-02-26',54.0,'3:50','You Sang To Me','wk2',2000
336,'A*Teens','2000-07-08',97.0,'3:44','Dancing Queen','wk2',2000
337,'Avant','2000-11-04',62.0,'4:28','My First Love','wk2',2000
338,'Avant','2000-04-29',32.0,'4:13','Separated','wk2',2000
339,"'Backstreet Boys, The'",'2000-10-14',25.0,'3:49','Shape Of My Heart','wk2',2000
340,"'Backstreet Boys, The'",'2000-01-01',62.0,'3:54','Show Me The Meaning ...','wk2',2000
341,"'Backstreet Boys, The'",'2000-05-27',50.0,'3:46','The One','wk2',2000
342,"'Badu, Erkyah'",'2000-08-19',53.0,'5:03','Bag Lady','wk2',2000
343,'Baha Men','2000-07-22',92.0,'3:17','Who Let The Dogs Out','wk2',2000
344,'Barenaked Ladies','2000-09-09',76.0,'3:46','Pinch Me','wk2',2000
345,'BBMak','2000-04-29',86.0,'3:35','Back Here','wk2',2000
346,'Beenie Man','2000-10-21',72.0,'4:17','Girls Dem Sugar','wk2',2000
347,'Before Dark','2000-05-20',87.0,'4:04','Monica','wk2',2000
348,"'Bega, Lou'",'2000-01-29',74.0,'3:23','Tricky Tricky ','wk2',2000
349,'Big Punisher','2000-04-22',87.0,'3:25',"""It's So Hard""",'wk2',2000
350,"'Black, Clint'",'2000-02-19',73.0,'5:28','Been There','wk2',2000
351,'Black Rob','2000-03-04',59.0,'4:04','Whoa!','wk2',2000
352,'Blaque','1999-10-23',63.0,'3:46','Bring It All To Me','wk2',2000
353,"'Blige, Mary J.'",'1999-11-13',80.0,'5:26','Deep Inside','wk2',2000
354,"'Blige, Mary J.'",'2000-04-15',94.0,'5:00','Give Me You','wk2',2000
355,'Blink-182','1999-12-04',76.0,'2:52','All The Small Things','wk2',2000
356,'Bloodhound Gang','2000-03-18',62.0,'4:20','The Bad Touch','wk2',2000
357,'Bon Jovi','2000-08-12',58.0,'3:44',"""It's My Life""",'wk2',2000
358,"'Braxton, Toni'",'2000-03-18',55.0,'4:21',"""He Wasn't Man Enough""",'wk2',2000
359,"'Braxton, Toni'",'2000-07-29',69.0,'4:10','Just Be A Man About ...','wk2',2000
360,"'Braxton, Toni'",'2000-12-02',98.0,'4:24','Spanish Guitar','wk2',2000
361,"'Brock, Chad'",'2000-01-01',75.0,'3:54','A Country Boy Can Su...','wk2',2000
362,"'Brock, Chad'",'2000-04-08',77.0,'3:22','Yes!','wk2',2000
363,'Brooks & Dunn','2000-06-10',85.0,'2:58',"""You'll Always Be Lov...""",'wk2',2000
364,"'Brooks, Garth'",'2000-02-19',81.0,'2:56','Do What You Gotta Do','wk2',2000
365,"'Byrd, Tracy'",'2000-01-29',77.0,'4:30','Put Your Hand In Min...','wk2',2000
366,"'Cagle, Chris'",'2000-10-21',94.0,'3:02','My Love Goes On And ...','wk2',2000
367,"""Cam'ron""",'2000-10-14',94.0,'4:38','What Means The World...','wk2',2000
368,"'Carey, Mariah'",'2000-06-24',34.0,'5:19','Crybaby','wk2',2000
369,"'Carey, Mariah'",'1999-12-11',68.0,'4:14','Thank God I Found Yo...','wk2',2000
370,"'Carter, Aaron'",'2000-08-26',75.0,'3:23',"""Aaron's Party""",'wk2',2000
371,"'Carter, Torrey'",'2000-06-24',88.0,'3:43','Take That','wk2',2000
372,'Changing Faces','2000-09-30',72.0,'4:00','That Other Woman','wk2',2000
373,"'Chesney, Kenny'",'2000-10-21',67.0,'3:54','I Lost It','wk2',2000
374,"'Chesney, Kenny'",'2000-04-01',74.0,'4:05','What I Need To Do','wk2',2000
375,'Clark Family Experience','2000-11-18',86.0,'2:56','Meanwhile Back At Th...','wk2',2000
376,"'Clark, Terri'",'2000-12-16',82.0,'3:07','A Little Gasoline','wk2',2000
377,'Common','2000-08-05',55.0,'3:55','The Light','wk2',2000
378,'Counting Crows','1999-11-06',70.0,'4:07','Hanginaround','wk2',2000
379,'Creed','1999-09-11',77.0,'5:16','Higher','wk2',2000
380,'Creed','2000-05-13',78.0,'3:52','With Arms Wide Open','wk2',2000
381,"'Cyrus, Billy Ray'",'2000-09-23',97.0,'3:45',"""You Won't Be Lonely ...""",'wk2',2000
382,'Da Brat','2000-02-26',73.0,'3:44',"""That's What I'm Look...""",'wk2',2000
383,'Da Brat','2000-06-03',65.0,'3:57',"""What'Chu Like""",'wk2',2000
384,"""D'Angelo""",'1999-12-11',77.0,'4:35','Left & Right','wk2',2000
385,"""D'Angelo""",'2000-01-22',56.0,'7:10','Untitled','wk2',2000
386,"'Davidson, Clay'",'2000-03-25',97.0,'3:56','Unconditional','wk2',2000
387,'De La Soul','2000-12-23',96.0,'5:02','All Good?','wk2',2000
388,"""Destiny's Child""",'2000-09-23',63.0,'3:38','Independent Women Pa...','wk2',2000
389,"""Destiny's Child""",'2000-05-13',71.0,'3:48',"""Jumpin' Jumpin'""",'wk2',2000
390,"""Destiny's Child""",'1999-12-25',83.0,'4:31','Say My Name','wk2',2000
391,"'Diffie, Joe'",'2000-08-12',78.0,'2:55',"""It's Always Somethin...""",'wk2',2000
392,"'Diffie, Joe'",'2000-01-01',100.0,'3:23',"""The Quittin' Kind""",'wk2',2000
393,"'Dion, Celine'",'1999-11-13',68.0,'4:03',"""That's The Way It Is""",'wk2',2000
394,"'Dixie Chicks, The'",'2000-06-24',79.0,'5:12','Cold Day In July','wk2',2000
395,"'Dixie Chicks, The'",'1999-11-27',72.0,'4:51','Cowboy Take Me Away','wk2',2000
396,"'Dixie Chicks, The'",'2000-03-18',29.0,'4:19','Goodbye Earl','wk2',2000
397,"'Dixie Chicks, The'",'2000-10-07',70.0,'3:32','Without You','wk2',2000
398,'DMX','2000-02-26',74.0,'3:45','Party Up','wk2',2000
399,'DMX','2000-01-15',76.0,'3:50',"""What's My Name""",'wk2',2000
400,'DMX','2000-07-01',95.0,'4:05','What You Want','wk2',2000
401,'Drama','2000-02-12',98.0,'3:37',"'Left, Right, Left'",'wk2',2000
402,'Dr. Dre','2000-01-22',55.0,'3:42','Forgot About Dre','wk2',2000
403,'Dr. Dre','2000-05-27',67.0,'2:38','The Next Episode','wk2',2000
404,'Dream','2000-09-30',92.0,'3:43','He Loves U Not','wk2',2000
405,"'Eastsidaz, The'",'2000-01-08',77.0,'4:27',"""G'D Up""",'wk2',2000
406,"'Eastsidaz, The'",'2000-07-01',99.0,'3:58','Got Beef','wk2',2000
407,'Eiffel 65','1999-12-11',29.0,'3:29','Blue','wk2',2000
408,"'Elliott, Missy ""Misdemeanor""'",'1999-11-27',21.0,'3:51','Hot Boyz','wk2',2000
409,'Eminem','2000-11-04',67.0,'5:26','Stan','wk2',2000
410,'Eminem','2000-05-06',32.0,'4:42','The Real Slim Shady','wk2',2000
411,'Eminem','2000-08-26',74.0,'4:40','The Way I Am','wk2',2000
412,'En Vogue','2000-06-17',92.0,'5:10','Riddle','wk2',2000
413,"'Estefan, Gloria'",'2000-06-10',nan,'3:25','No Me Dejes De Quere...','wk2',2000
414,"'Evans, Sara'",'2000-10-21',71.0,'5:36','Born To Fly','wk2',2000
415,'Eve','2000-07-15',88.0,'3:48','Got It All','wk2',2000
416,'Eve','2000-01-08',91.0,'3:51','Love Is Blind','wk2',2000
417,'Everclear','2000-07-08',69.0,'4:30','Wonderful','wk2',2000
418,"'Fabian, Lara'",'2000-06-10',80.0,'3:43','I Will Love Again','wk2',2000
419,'Fatboy Slim','1999-11-13',94.0,'4:00','The Rockafeller Skan...','wk2',2000
420,'Filter','1999-11-27',74.0,'4:23','Take A Picture','wk2',2000
421,'Foo Fighters','1999-10-16',69.0,'3:55','Learn To Fly','wk2',2000
422,'Fragma','2000-10-28',nan,'3:22',"""Toca's Miracle""",'wk2',2000
423,'Funkmaster Flex','2000-11-11',92.0,'4:14','Do You','wk2',2000
424,'Ghostface Killah','2000-08-05',nan,'3:04','Cherchez LaGhost','wk2',2000
425,"'Gill, Vince'",'2000-09-02',76.0,'4:13','Feels Like Love','wk2',2000
426,"'Gilman, Billy'",'2000-06-17',86.0,'4:07','One Voice','wk2',2000
427,'Ginuwine','1999-12-11',84.0,'4:12','None Of Ur Friends B...','wk2',2000
428,'Ginuwine','2000-01-08',97.0,'4:06','The Best Man I Can B...','wk2',2000
429,'Goo Goo Dolls','2000-04-22',58.0,'3:54','Broadway','wk2',2000
430,"'Gray, Macy'",'2000-02-19',51.0,'3:52','I Try','wk2',2000
431,"'Griggs, Andy'",'2000-03-11',76.0,'3:19',"""She's More""",'wk2',2000
432,'Guy','1999-12-18',29.0,'4:08',"""Dancin'""",'wk2',2000
433,'Hanson','2000-04-22',22.0,'4:14','This Time Around','wk2',2000
434,"'Hart, Beth'",'1999-11-27',100.0,'3:47','L.A. Song','wk2',2000
435,"'Heatherly, Eric'",'2000-04-29',88.0,'3:16','Flowers On The Wall','wk2',2000
436,"'Henley, Don'",'2000-06-24',77.0,'4:08','Taking You Home','wk2',2000
437,"'Herndon, Ty'",'2000-03-18',99.0,'4:43','No Mercy','wk2',2000
438,"'Hill, Faith'",'1999-11-06',68.0,'4:04','Breathe','wk2',2000
439,"'Hill, Faith'",'2000-08-12',83.0,'4:11',"""Let's Make Love""",'wk2',2000
440,'Hoku','2000-02-19',49.0,'3:47','Another Dumb Blonde','wk2',2000
441,"'Hollister, Dave'",'2000-03-25',84.0,'6:17',"""Can't Stay""",'wk2',2000
442,'Hot Boys','2000-02-19',75.0,'4:16','I Need A Hot Girl','wk2',2000
443,"'Houston, Whitney'",'2000-06-17',68.0,'3:54','Could I Have This Ki...','wk2',2000
444,"'Houston, Whitney'",'2000-02-19',83.0,'4:18','I Learned From The B...','wk2',2000
445,"'Houston, Whitney'",'1999-09-04',68.0,'4:16','My Love Is Your Love','wk2',2000
446,"'Houston, Whitney'",'2000-06-17',71.0,'4:45',"'Same Script, Differe...'",'wk2',2000
447,'Ice Cube','1999-12-04',66.0,'4:20','You Can Do It','wk2',2000
448,'Ideal','2000-06-10',75.0,'3:48','Whatever','wk2',2000
449,"'Iglesias, Enrique'",'2000-04-01',45.0,'3:36','Be With You','wk2',2000
450,"'Iglesias, Enrique'",'1999-12-04',84.0,'7:35','Rhythm Divine','wk2',2000
451,'IMx','1999-10-09',61.0,'3:37','Stay The Night','wk2',2000
452,"'Jackson, Alan'",'2000-06-24',74.0,'2:53','It Must Be Love','wk2',2000
453,"'Jackson, Alan'",'1999-11-13',73.0,'3:04','Pop A Top','wk2',2000
454,"'Jackson, Alan'",'2000-11-04',59.0,'2:36','www.memory','wk2',2000
455,'Jagged Edge','1999-12-11',32.0,'3:30',"""He Can't Love U""",'wk2',2000
456,'Jagged Edge','2000-05-06',66.0,'4:23',"""Let's Get Married""",'wk2',2000
457,'Janet','2000-06-17',52.0,'4:17',"""Doesn't Really Matte...""",'wk2',2000
458,'Ja Rule','2000-09-16',74.0,'4:05','Between Me And You','wk2',2000
459,'Jay-Z','2000-02-26',58.0,'3:41','Anything','wk2',2000
460,'Jay-Z','2000-04-22',52.0,'3:55',"""Big Pimpin'""",'wk2',2000
461,'Jay-Z','2000-01-15',68.0,'3:47','Do It Again','wk2',2000
462,'Jay-Z','2000-08-12',100.0,'3:40','Hey Papi','wk2',2000
463,'Jay-Z','2000-10-28',45.0,'3:50','I Just Wanna Love U','wk2',2000
464,"'Jean, Wyclef'",'2000-10-07',74.0,'4:00','911','wk2',2000
465,'Joe','2000-01-01',86.0,'4:57','I Wanna Know','wk2',2000
466,'Joe','2000-08-05',75.0,'4:12','Treat Her Like A Lad...','wk2',2000
467,"'John, Elton'",'2000-04-22',56.0,'4:41','Someday Out Of The B...','wk2',2000
468,"'Jones, Donell'",'2000-04-22',71.0,'6:22','Where I Wanna Be','wk2',2000
469,"'Jordan, Montell'",'1999-10-23',80.0,'4:34','Get It On.. Tonite','wk2',2000
470,'J-Shin','1999-12-25',96.0,'4:34','One Night Stand','wk2',2000
471,'Juvenile','2000-02-05',83.0,'3:51','U Understand','wk2',2000
472,'Kandi','2000-08-05',66.0,'3:50',"""Don't Think I'm Not""",'wk2',2000
473,"'Keith, Toby'",'2000-08-05',78.0,'3:39','Country Comes To Tow...','wk2',2000
474,"'Keith, Toby'",'2000-01-29',72.0,'3:29','How Do You Like Me N...','wk2',2000
475,'Kelis','1999-12-04',68.0,'4:09','Caught Out There','wk2',2000
476,'Kenny G','1999-12-25',89.0,'7:50','Auld Lang Syne','wk2',2000
477,'Kid Rock','2000-02-19',47.0,'5:27','Only God Knows Why','wk2',2000
478,"'Kravitz, Lenny'",'2000-03-25',77.0,'4:17','I Belong To You','wk2',2000
479,'Kumbia Kings','2000-03-04',64.0,'3:50',"""U Don't Love Me""",'wk2',2000
480,"'Larrieux, Amel'",'2000-03-04',97.0,'4:02','Get Up','wk2',2000
481,"'Lawrence, Tracy'",'2000-01-29',73.0,'2:55','Lessons Learned','wk2',2000
482,"'Levert, Gerald'",'2000-08-19',89.0,'4:10','Baby U Are','wk2',2000
483,"'Levert, Gerald'",'2000-03-18',83.0,'4:06','Mr. Too Damn Good','wk2',2000
484,'LFO','2000-04-15',61.0,'5:00',"""I Don't Wanna Kiss Y...""",'wk2',2000
485,'LFO','2000-08-05',84.0,'3:27','West Side Story','wk2',2000
486,'Lil Bow Wow','2000-08-19',35.0,'3:22','Bounce With Me','wk2',2000
487,"""Lil' Kim""",'2000-11-25',75.0,'3:50','How Many Licks?','wk2',2000
488,"""Lil' Kim""",'2000-07-15',72.0,'4:12','No Matter What They ...','wk2',2000
489,"""Lil' Mo""",'2000-08-12',99.0,'4:17','Ta Da','wk2',2000
490,'Lil Wayne','1999-12-04',89.0,'4:13','Tha Block Is Hot','wk2',2000
491,"""Lil' Zane""",'2000-07-29',89.0,'3:43',"""Callin' Me""",'wk2',2000
492,'Limp Bizkit','1999-12-04',88.0,'3:55','N 2 Gether Now','wk2',2000
493,'Limp Bizkit','1999-12-04',91.0,'4:08','Re-Arranged','wk2',2000
494,'Limp Bizkit','2000-11-11',73.0,'4:04',"""Rollin'""",'wk2',2000
495,'LL Cool J','2000-08-12',98.0,'4:00','Imagine That','wk2',2000
496,'Lonestar','1999-06-05',54.0,'4:25','Amazed','wk2',2000
497,'Lonestar','1999-12-18',80.0,'3:33','Smile','wk2',2000
498,'Lonestar','2000-06-10',72.0,'3:30','What About Now','wk2',2000
499,"'Lopez, Jennifer'",'2000-02-19',79.0,'4:28',"""Feelin' Good""",'wk2',2000
